id,name,date,cumulative_proposals
index-cooperative,Index Cooperative,2020-04-28,1
index-cooperative,Index Cooperative,2020-04-29,2
index-cooperative,Index Cooperative,2020-05-16,3
index-cooperative,Index Cooperative,2020-05-24,4
index-cooperative,Index Cooperative,2020-06-03,5
index-cooperative,Index Cooperative,2020-06-10,6
index-cooperative,Index Cooperative,2020-06-12,7
index-cooperative,Index Cooperative,2020-06-19,8
index-cooperative,Index Cooperative,2020-06-20,9
index-cooperative,Index Cooperative,2020-06-24,10
index-cooperative,Index Cooperative,2020-06-29,11
index-cooperative,Index Cooperative,2020-07-03,12
index-cooperative,Index Cooperative,2020-07-06,13
index-cooperative,Index Cooperative,2020-07-07,14
index-cooperative,Index Cooperative,2020-07-10,15
index-cooperative,Index Cooperative,2020-07-11,16
index-cooperative,Index Cooperative,2020-07-21,17
index-cooperative,Index Cooperative,2020-07-25,18
index-cooperative,Index Cooperative,2020-08-14,19
index-cooperative,Index Cooperative,2020-08-18,20
index-cooperative,Index Cooperative,2020-08-28,21
index-cooperative,Index Cooperative,2020-09-10,22
index-cooperative,Index Cooperative,2020-09-18,23
index-cooperative,Index Cooperative,2020-09-28,24
index-cooperative,Index Cooperative,2020-09-30,25
index-cooperative,Index Cooperative,2020-10-10,26
index-cooperative,Index Cooperative,2020-10-14,27
index-cooperative,Index Cooperative,2020-10-17,28
index-cooperative,Index Cooperative,2020-11-03,29
index-cooperative,Index Cooperative,2020-11-11,30
index-cooperative,Index Cooperative,2020-11-20,31
index-cooperative,Index Cooperative,2020-11-21,32
index-cooperative,Index Cooperative,2020-12-04,33
index-cooperative,Index Cooperative,2020-12-07,34
index-cooperative,Index Cooperative,2020-12-08,35
index-cooperative,Index Cooperative,2020-12-10,36
index-cooperative,Index Cooperative,2020-12-14,37
index-cooperative,Index Cooperative,2020-12-19,38
index-cooperative,Index Cooperative,2020-12-23,41
index-cooperative,Index Cooperative,2021-01-06,42
index-cooperative,Index Cooperative,2021-01-11,43
index-cooperative,Index Cooperative,2021-01-18,44
index-cooperative,Index Cooperative,2021-01-23,45
index-cooperative,Index Cooperative,2021-02-04,46
index-cooperative,Index Cooperative,2021-02-05,47
index-cooperative,Index Cooperative,2021-02-11,48
index-cooperative,Index Cooperative,2021-02-13,49
index-cooperative,Index Cooperative,2021-02-22,50
index-cooperative,Index Cooperative,2021-02-27,51
index-cooperative,Index Cooperative,2021-03-05,52
index-cooperative,Index Cooperative,2021-03-10,53
index-cooperative,Index Cooperative,2021-03-12,54
index-cooperative,Index Cooperative,2021-03-13,55
index-cooperative,Index Cooperative,2021-03-16,56
index-cooperative,Index Cooperative,2021-03-25,57
index-cooperative,Index Cooperative,2021-03-27,58
index-cooperative,Index Cooperative,2021-04-02,59
index-cooperative,Index Cooperative,2021-04-03,60
index-cooperative,Index Cooperative,2021-04-10,62
index-cooperative,Index Cooperative,2021-04-16,63
index-cooperative,Index Cooperative,2021-04-18,65
index-cooperative,Index Cooperative,2021-04-21,66
index-cooperative,Index Cooperative,2021-04-22,68
index-cooperative,Index Cooperative,2021-04-23,70
index-cooperative,Index Cooperative,2021-04-24,73
index-cooperative,Index Cooperative,2021-04-29,74
index-cooperative,Index Cooperative,2021-04-30,77
index-cooperative,Index Cooperative,2021-05-06,82
index-cooperative,Index Cooperative,2021-05-09,83
index-cooperative,Index Cooperative,2021-05-14,84
index-cooperative,Index Cooperative,2021-05-15,85
index-cooperative,Index Cooperative,2021-05-18,87
index-cooperative,Index Cooperative,2021-05-20,89
index-cooperative,Index Cooperative,2021-05-23,92
index-cooperative,Index Cooperative,2021-05-26,95
index-cooperative,Index Cooperative,2021-05-28,96
index-cooperative,Index Cooperative,2021-06-05,97
index-cooperative,Index Cooperative,2021-06-08,98
index-cooperative,Index Cooperative,2021-06-10,100
index-cooperative,Index Cooperative,2021-06-12,101
index-cooperative,Index Cooperative,2021-06-13,102
index-cooperative,Index Cooperative,2021-06-16,103
index-cooperative,Index Cooperative,2021-06-18,104
index-cooperative,Index Cooperative,2021-06-19,107
index-cooperative,Index Cooperative,2021-06-24,108
index-cooperative,Index Cooperative,2021-06-26,109
index-cooperative,Index Cooperative,2021-06-27,110
index-cooperative,Index Cooperative,2021-07-01,111
index-cooperative,Index Cooperative,2021-07-02,112
index-cooperative,Index Cooperative,2021-07-08,115
index-cooperative,Index Cooperative,2021-07-10,116
index-cooperative,Index Cooperative,2021-07-11,117
index-cooperative,Index Cooperative,2021-07-15,120
index-cooperative,Index Cooperative,2021-07-16,121
index-cooperative,Index Cooperative,2021-07-21,122
index-cooperative,Index Cooperative,2021-07-22,123
index-cooperative,Index Cooperative,2021-07-23,124
index-cooperative,Index Cooperative,2021-07-29,127
index-cooperative,Index Cooperative,2021-07-30,128
index-cooperative,Index Cooperative,2021-07-31,129
index-cooperative,Index Cooperative,2021-08-04,130
index-cooperative,Index Cooperative,2021-08-05,132
index-cooperative,Index Cooperative,2021-08-06,135
index-cooperative,Index Cooperative,2021-08-08,136
index-cooperative,Index Cooperative,2021-08-09,137
index-cooperative,Index Cooperative,2021-08-10,138
index-cooperative,Index Cooperative,2021-08-12,144
index-cooperative,Index Cooperative,2021-08-13,147
index-cooperative,Index Cooperative,2021-08-19,149
index-cooperative,Index Cooperative,2021-08-22,150
index-cooperative,Index Cooperative,2021-08-23,151
index-cooperative,Index Cooperative,2021-08-25,153
index-cooperative,Index Cooperative,2021-08-26,154
index-cooperative,Index Cooperative,2021-08-27,155
index-cooperative,Index Cooperative,2021-08-28,157
index-cooperative,Index Cooperative,2021-09-01,158
index-cooperative,Index Cooperative,2021-09-02,159
index-cooperative,Index Cooperative,2021-09-04,161
index-cooperative,Index Cooperative,2021-09-08,162
index-cooperative,Index Cooperative,2021-09-11,166
index-cooperative,Index Cooperative,2021-09-13,168
index-cooperative,Index Cooperative,2021-09-14,169
index-cooperative,Index Cooperative,2021-09-15,170
index-cooperative,Index Cooperative,2021-09-16,173
index-cooperative,Index Cooperative,2021-09-22,174
index-cooperative,Index Cooperative,2021-09-24,175
index-cooperative,Index Cooperative,2021-09-25,176
index-cooperative,Index Cooperative,2021-09-30,180
index-cooperative,Index Cooperative,2021-10-02,181
index-cooperative,Index Cooperative,2021-10-04,182
index-cooperative,Index Cooperative,2021-10-06,184
index-cooperative,Index Cooperative,2021-10-07,186
index-cooperative,Index Cooperative,2021-10-13,187
index-cooperative,Index Cooperative,2021-10-15,189
index-cooperative,Index Cooperative,2021-10-17,190
index-cooperative,Index Cooperative,2021-10-19,191
index-cooperative,Index Cooperative,2021-10-20,192
index-cooperative,Index Cooperative,2021-10-21,194
index-cooperative,Index Cooperative,2021-10-22,195
index-cooperative,Index Cooperative,2021-10-23,198
index-cooperative,Index Cooperative,2021-10-26,199
index-cooperative,Index Cooperative,2021-10-27,200
index-cooperative,Index Cooperative,2021-10-28,201
index-cooperative,Index Cooperative,2021-10-30,202
index-cooperative,Index Cooperative,2021-10-31,203
index-cooperative,Index Cooperative,2021-11-04,205
index-cooperative,Index Cooperative,2021-11-05,206
index-cooperative,Index Cooperative,2021-11-07,207
index-cooperative,Index Cooperative,2021-11-09,209
index-cooperative,Index Cooperative,2021-11-10,210
index-cooperative,Index Cooperative,2021-11-11,216
index-cooperative,Index Cooperative,2021-11-13,217
index-cooperative,Index Cooperative,2021-11-18,221
index-cooperative,Index Cooperative,2021-11-20,223
index-cooperative,Index Cooperative,2021-11-21,224
index-cooperative,Index Cooperative,2021-11-23,226
