Balance,Holder
{'Amount': '863.827419790473237439'},{'Address': '0x2b29e2dca8b27e5f30c5fa0f54b802b766fccd4c'}
{'Amount': '830.799492825276565389'},{'Address': '0x79dc3f8ab4cb561ba15aa29503a647201a924832'}
{'Amount': '824.372292924473203230'},{'Address': '0x02ca2568cfd5014566352022d126472b21279edb'}
{'Amount': '818.298148387040504613'},{'Address': '0x14ebcd509a2bc5963b3f0b5ee8e4186a671d2041'}
{'Amount': '814.398080193397406911'},{'Address': '0x53dd88b3bfd53133798a6facccdc714e44e3540c'}
{'Amount': '801.177083578254080878'},{'Address': '0xbfd733f1502da77b3b249257e52deaa897543824'}
{'Amount': '801.161363359272759443'},{'Address': '0x959ad4a87a4039109f9133ab110787679f6d1038'}
{'Amount': '800.909921668621147655'},{'Address': '0x503ce57e0e71a6a043f1d39d78e8ff385f2174f5'}
{'Amount': '797.454948425293103104'},{'Address': '0x1a32dc731b3461ec8811c7ce4a725b7881ff839f'}
{'Amount': '788.401053873148411913'},{'Address': '0x67d004edbc89fc7c925d6bfea49e99c0f731677e'}
{'Amount': '787.248521519103154196'},{'Address': '0x9b9ce348d807da476227bd1e5cc0abc4a1c7774b'}
{'Amount': '760.161785672294261926'},{'Address': '0x09e329413234e621aa810481b271ab80e1fb4ae4'}
{'Amount': '758.375139524051894158'},{'Address': '0x1559bd701eed5bf26778c7eb10b72f58dd1868a2'}
{'Amount': '725.439710450106894184'},{'Address': '0x7f29248210d28b99d54a6b3b5a4729be5838d14a'}
{'Amount': '718.472473144531222528'},{'Address': '0xbe167151c27210a80b40ac2fc48c2955cac921c4'}
{'Amount': '716.525167652902679411'},{'Address': '0x43cf6d975661f0ee3b4536a79c4b5b99e4f385b9'}
{'Amount': '708.259674153924274637'},{'Address': '0x634784c02ef9e546588cb129f07bb15d0bc3d8ba'}
{'Amount': '703.034509938640420407'},{'Address': '0x1b3269dfe161a7c6d79616e2874215ea3e044818'}
{'Amount': '696.199668966782399007'},{'Address': '0x1624b3909fb1cbccfe882c2a05861ce6068e313a'}
{'Amount': '690.093193791607624231'},{'Address': '0x37820e6a522e493135b8e1d80b2c86f59e7da64b'}
{'Amount': '687.575770952991843413'},{'Address': '0x8967fe0bc0917796b14cac543b58cecb5bf1b26e'}
{'Amount': '684.339926885279395067'},{'Address': '0x244b04f7c8cc3a64965fd8734bdaf48c133672bf'}
